K,3
4,4
2,7
5,6
Q,A
A,A
9,7
4,2
2,9
10,6
10,J
J,3
7,6
9,2
3,5
J,K
7,8
6,2
4,8
Q,Q
Q,4
4,3
A,Q
9,2
2,W
J,Q
8,5
K,7
K,J
5,9
4,4
6,3
5,Q
A,4
10,7
J,10
3,2
6,8
10,3
J,K
7,5
7,3
K,Q
W,7
4,7
9,Q
A,10
3,2
K,8
9,6
5,6
7,10
A,Q
7,9
A,4
10,8
J,2
4,9
10,3
4,Q
5,5
6,W
2,10
A,Q
8,2
7,5
9,4
2,4
10,9
5,5
J,K
8,9
K,Q
4,2
5,9
10,6
6,5
Q,A
5,2
10,J
A,W
9,5
K,J
4,6
3,3
A,6
7,3
2,8
J,6
W,2
A,A
8,3
9,7
Q,A
Q,4
10,9
8,5
7,J
2,8
J,K
4,9
K,Q
9,6
10,3
2,Q
7,6
2,9
K,10
10,K
A,9
A,6
5,2
9,7
10,J
8,9
5,4
9,Q
7,6
2,10
6,5
Q,A
J,6
3,6
9,10
5,8
4,3
8,6
5,2
3,8
9,8
K,J
7,9
5,3
Q,A
A,7
5,10
4,6
8,Q
A,7
2,3
Q,K
A,7
7,2
6,8
10,K
3,8
7,5
J,8
2,4
K,9
8,10
K,Q
4,7
3,5
2,4
K,J
10,J
8,7
5,2
J,2